,State,count,Code,Abb
0,California,9590,6.0,ca
1,Washington,4242,53.0,wa
2,Florida,4181,12.0,fl
3,Texas,3669,48.0,tx
4,New York,3237,36.0,ny
5,Arizona,2677,4.0,az
6,Illinois,2640,17.0,il
7,Pennsylvania,2567,42.0,pa
8,Ohio,2412,39.0,oh
9,Michigan,2043,26.0,mi
10,North Carolina,1854,37.0,nc
11,Oregon,1837,41.0,or
12,Missouri,1565,29.0,mo
13,Colorado,1512,8.0,co
14,New Jersey,1503,34.0,nj
15,Virginia,1391,51.0,va
16,Indiana,1361,18.0,in
17,Massachusetts,1351,25.0,ma
18,Georgia,1340,13.0,ga
19,Wisconsin,1320,55.0,wi
20,Tennessee,1195,47.0,tn
21,Minnesota,1080,27.0,mn
22,South Carolina,1073,45.0,sc
23,Connecticut,944,9.0,ct
24,Kentucky,909,21.0,ky
25,Maryland,906,24.0,md
26,Nevada,900,32.0,nv
27,New Mexico,813,35.0,nm
28,Oklahoma,766,40.0,ok
29,Utah,731,49.0,ut
30,Iowa,703,19.0,ia
31,Alabama,676,1.0,al
32,Kansas,652,20.0,ks
33,Arkansas,651,5.0,ar
34,Maine,630,23.0,me
35,Louisiana,592,22.0,la
36,Idaho,546,16.0,id
37,New Hampshire,533,33.0,nh
38,Montana,506,30.0,mt
39,West Virginia,487,54.0,wv
40,Mississippi,411,28.0,ms
41,Nebraska,400,31.0,ne
42,Alaska,351,2.0,ak
43,Hawaii,349,15.0,hi
44,Vermont,305,50.0,vt
45,Rhode Island,286,44.0,ri
46,Wyoming,203,56.0,
47,South Dakota,196,46.0,sd
48,Delaware,177,10.0,de
49,North Dakota,134,38.0,nd
50,District of Columbia,98,11.0,dc
